experiment,impl,n,blockSize,param,median_ms,min_ms
npot,efficient,8250000,256,0,3.907776,3.896864
npot,efficient-unoptimized,8250000,256,0,17.564960,17.555456
npot,thrust,8250000,0,0,60.869858,60.728958
npot,shared-efficient,8250000,128,0,3.699680,3.661920
npot,cpu,8500000,0,0,29.670118,29.390404
npot,efficient,8500000,256,0,7.790976,7.744032
npot,efficient-unoptimized,8500000,256,0,36.146881,36.071102
npot,thrust,8500000,0,0,62.696735,62.646271
npot,shared-efficient,8500000,128,0,3.806176,3.769312
npot,cpu,8750000,0,0,30.771070,29.973513
npot,efficient,8750000,256,0,7.775488,7.757664
npot,efficient-unoptimized,8750000,256,0,36.090466,36.060223
npot,thrust,8750000,0,0,64.761597,64.581635
npot,shared-efficient,8750000,128,0,3.913984,3.880288
npot,cpu,9000000,0,0,32.179401,31.018581
npot,efficient,9000000,256,0,7.786496,7.764576
npot,efficient-unoptimized,9000000,256,0,36.071007,36.015263
npot,thrust,9000000,0,0,66.676735,66.400002
npot,shared-efficient,9000000,128,0,4.022624,3.984352
npot,cpu,9250000,0,0,32.466511,31.816282
npot,efficient,9250000,256,0,7.766464,7.745120
npot,efficient-unoptimized,9250000,256,0,36.366337,36.059937
npot,thrust,9250000,0,0,68.552895,68.475327
npot,shared-efficient,9250000,128,0,4.128800,4.092640
npot,cpu,9500000,0,0,33.226967,32.506931
npot,efficient,9500000,256,0,7.779584,7.755264
npot,efficient-unoptimized,9500000,256,0,36.096226,36.056705
npot,thrust,9500000,0,0,70.486015,70.291138
npot,shared-efficient,9500000,128,0,4.238528,4.202400
npot,cpu,9750000,0,0,33.347160,32.800011
npot,efficient,9750000,256,0,7.760832,7.755968
npot,efficient-unoptimized,9750000,256,0,36.118526,36.047394
npot,thrust,9750000,0,0,72.292450,72.105759
npot,shared-efficient,9750000,128,0,4.347136,4.309952
npot,cpu,10000000,0,0,34.889156,34.024181
npot,efficient,10000000,256,0,7.772160,7.765312
npot,efficient-unoptimized,10000000,256,0,36.538368,36.188480
npot,thrust,10000000,0,0,74.510880,74.213341
npot,shared-efficient,10000000,128,0,4.458016,4.416960
