experiment,impl,n,blockSize,param,median_ms,min_ms
sort,thrust-sort,1048576,0,0,0.673728,0.646816
sort,cpu-std-sort,1048576,0,1,88.764236,86.779549
sort,radix,1048576,256,1,17.819616,17.757088
sort,thrust-sort,1048576,0,1,0.900608,0.880224
sort,cpu-std-sort,1048573,0,0,55.341259,54.597080
sort,radix,1048573,256,0,5.079616,5.058304
sort,thrust-sort,1048573,0,0,0.679936,0.662016
sort,cpu-std-sort,1048573,0,1,86.668716,85.254402
sort,radix,1048573,256,1,15.843296,15.699040
sort,thrust-sort,1048573,0,1,0.755968,0.750176
sort,cpu-std-sort,2097152,0,0,107.034996,105.706985
sort,radix,2097152,256,0,11.560416,11.502240
sort,thrust-sort,2097152,0,0,0.870304,0.813664
sort,cpu-std-sort,2097152,0,1,185.117188,179.816406
sort,radix,2097152,256,1,35.485600,35.441727
sort,thrust-sort,2097152,0,1,0.950112,0.910112
sort,cpu-std-sort,2097149,0,0,110.307175,109.219048
sort,radix,2097149,256,0,11.433984,11.395872
sort,thrust-sort,2097149,0,0,0.790400,0.762784
sort,cpu-std-sort,2097149,0,1,183.175049,180.247849
sort,radix,2097149,256,1,35.518398,35.439743
sort,thrust-sort,2097149,0,1,0.924480,0.917824
sort,cpu-std-sort,4194304,0,0,225.003586,222.268539
sort,radix,4194304,256,0,23.872543,23.732672
sort,thrust-sort,4194304,0,0,1.291616,1.191744
sort,cpu-std-sort,4194304,0,1,382.662170,379.823395
sort,radix,4194304,256,1,72.241219,71.888412
sort,thrust-sort,4194304,0,1,1.448512,1.417184
sort,cpu-std-sort,4194301,0,0,223.331284,219.953064
sort,radix,4194301,256,0,24.285313,23.538784
sort,thrust-sort,4194301,0,0,1.294688,1.262048
sort,cpu-std-sort,4194301,0,1,390.636505,383.696045
sort,radix,4194301,256,1,72.542976,72.273087
sort,thrust-sort,4194301,0,1,1.512640,1.436640
sort,cpu-std-sort,8388608,0,0,468.711731,465.188568
sort,radix,8388608,256,0,47.406754,46.855423
sort,thrust-sort,8388608,0,0,2.112736,2.030656
sort,cpu-std-sort,8388608,0,1,801.594849,797.209534
sort,radix,8388608,256,1,146.670105,145.509766
sort,thrust-sort,8388608,0,1,2.514624,2.480096
sort,cpu-std-sort,8388605,0,0,445.601593,438.982361
sort,radix,8388605,256,0,47.345665,47.016865
sort,thrust-sort,8388605,0,0,2.044576,1.987808
sort,cpu-std-sort,8388605,0,1,799.231384,790.381226
sort,radix,8388605,256,1,146.668167,144.900574
sort,thrust-sort,8388605,0,1,2.516768,2.503904
sort,cpu-std-sort,16777216,0,0,912.680115,905.243042
sort,radix,16777216,256,0,94.924156,93.481987
sort,thrust-sort,16777216,0,0,3.733632,3.673024
